Titel;Nøgle
Netto;af-netto
Netto 2. disp. dato;af-netto-2-disp-dato
Netto ATP Disp.dato1;af-netto-atp-disp-dato1
Netto ATP Disp.dato2;af-netto-atp-disp-dato2
Netto SUPP Disp.dato1;af-netto-supp-disp-dato1
Netto SUPP Disp.dato2;af-netto-supp-disp-dato2
Ny brøk;af-ny-broek
Ny optjeningsprocent;af-ny-optjeningsprocent
Ønsket virkning FOP (Proces specifik);af-oensket-virkning-fop
Ønsket virkning Udskudt;af-oensket-virkning-udskudt
Opgørelsesperiode slutdato efterregulering;af-ogoelsesperiode-slutdato-efr
Opgørelse slutdato indkomstblanket;af-opgoerelse-slutdato-indkomstblanket
Opgørelsesperiode - Antal måneder;af-opgoerelsesperiode-antal-maaneder
Opgørelsesperiode Seneste startdato;af-opgoerelsesperiode-seneste-startdato
Opgørelsesperiode - slutdato;af-opgoerelsesperiode-slutdato
Opgørelsesperiode - Slutdato - Forrige år;af-opgoerelsesperiode-slutdato-forrige-aar
Opgørelsesperiode startdato efterregulering;af-opgoerelsesperiode-startdato-efr
Opgørelse startdato indkomstblanket;af-opgoerelse-startdato-indkomstblanket
Opgørelsesstatus-ENG;af-opgoerelsestatus-eng
Optjeningsprocent;af-optjeningsprocent
Optjent i alt i måneder;af-optjent-alt-maaneder
Opvarmningsform;af-opvarmningsform
Pension i bero - samlever;af-pension-i-bero-samlever
ATP Pensionist andel mdl;af-pensionist-andel-mdl
ATP Pensionist andel regulering + ATP Disp Dato1;af-pensionist-andel-reg-atp-disp-dato1
Pensionistens køn;af-pensionistens-koen
Pensionist - Samlet - Forrige år;af-pensionist-samlet-forrige-aar
Brutto for opgørelsesperioden, ikke afrundet;af-pensionstillaeg-brutto-for-opgoerelsesperioden-ikke-afrundet
Nedsættelse brøk, afrundet;af-pensionstillaeg-nedsaettelse-broek-afrundet
Brutto mdl;af-penstill-brutto-mdl
Reg nr;af-reg-nr
Samlet brutto;af-samlet-brutto
Samlet brutto 2. disp dato;af-samlet-brutto-2-disp
Samlet formue - Pensionist og samlever - Forrige år;af-samlet-formue-pensionist-og-samlever-forrige-aar
Samlet regulering brutto;af-samlet-reg-brutto
Samlet regulering - krav;af-samlet-regulering-krav
Samlever, halvdelsreglen, over indkomstgrænse, forrige;af-samlever-halvdel-over-graense-forrige
Samlevers dødsdato;af-samlevers-doedsdato
Samlevers dødsdato +1;af-samlevers-doedsdato-plus-1
Samlevers dødsdato +3 mdr;af-samlevers-doedsdato-plus3-mdr
Samlevers dødsdato +3 mdr +1 dag;af-samlevers-doedsdato-plus3-mdr-plus1-dag
Årligt - Afrundet;af-aarligt-afrundet
Samliv ændret, beregningsmæssigt;af-samliv-aendret-beregningsmaessigt
Samliv ændret, oplyst dato;af-samliv-aendret-oplyst-dato
Samliv er ikke konkluderet;af-samliv-er-ikke-konkluderet
Sidste dag i 2. udbetalingsmåned;af-sidste-dag-2-udbmaaned
Årligt - Efter varmekomp;af-aarligt-efter-varmekomp
Sidste dag i kommende udbetalingsmåned;af-sidste-dag-i-kommende-udb-md
Sidste dag i kravsperiode;af-sidste-dag-i-kravsperiode
Den sidste måned der udbetales efterlevelsespension i;af-sidste-dag-imaaned-der-udb-efterlevelsespens
Sidste dag i reguleringsperioden;af-sidste-dag-regulering-periode
Slutdato efterlevelsespension udbetalt til afdøde;af-slutdato-efterlevelsespens-udb-til-afdoede
Slutdato indkomstblanket, skattepligtig (Proces specifik);af-slutdato-indkomstblanket-skattepligtig
Slutdato - Seneste ikke godkendte periode;af-slutdato-seneste-ej-god-periode
Slutdato - Seneste ikke godkendte periode minus 1;af-slutdato-seneste-ej-god-periode-minus1
Slutdato - Seneste godkendte periode minus 1;af-slutdato-seneste-god-periode-minus1
Slutdato - Seneste udskudte periode;af-slutdato-seneste-udskudt-periode
Slutdato senest indberettet godkendt periode;af-slutdato-senest-indberettet-godkendt-periode
Slutdato senest indberettet periode;af-slutdato-senest-indberettet-periode
Slutdato - Tidligere udskudte periode;af-slutdato-tidligere-udskudt-periode
Slutdato udbetaling;af-slutdato-udbetaling
Startdato;af-startdato
Startdato 10 års tillæg;af-startdato-10-aars-tillaeg
Startdato, forrige år;af-startdato-forrige-aar
Startdato indkomstblanket, skattepligtig;af-startdato-indkomstblanket-skattepligtig
Startdato - Seneste ikke godkendte periode;af-startdato-seneste-ej-god-periode
Startdato - Seneste ikke godkendte periode minus 1;af-startdato-seneste-ej-god-periode-minus1
Startdato - Seneste udskudte periode;af-startdato-seneste-udskudt-periode
Startdato - Tidligere udskudte periode;af-startdato-tidligere-udskudt-periode
Statsborgerskab;af-statsborgerskab
StatsborgerskENG;af-statsborgerskab-eng
ATP_Eng;ATP_Eng
SUPP Disp.dato2;af-supp-disp-dato2
SUPP Framelding Meddelelsesdato;af-supp-framelding-meddelelsesdato
SUPP Framelding Virkningsdato;af-supp-framelding-virkningsdato
SUPP Pensionist andel regulering + ATP Disp Dato1;af-supp-pensionist-andel-reg-atp-disp-dato1
SUPP Pensionskasse;af-supp-pensionskasse
SUPP Skift af pensionskasse Meddelelsesdato;af-supp-skift-pensionskasse-meddelsesdato
SUPP Skift af pensionskasse Virkningsdato;af-supp-skift-pensionskasse-virkningsdato
SUPP Tilmelding Virkningsdato;af-supp-tilmelding-virkningsdato
SUPP UDK andel mdl;af-supp-udk-andel-mdl
Svarfrist 1;af-svarfrist-1
SWIFT;af-swift
Tidl for senest udbetalte periode;af-tidl-for-senest-udbetalte-periode
Tilbageført ATP-bidrag;af-tilbagefoert-atp-bidrag
B1_1_Efterbetaling (2. udbetaling);B1_1_Efterbetaling
Timer - godkendt beskæftigelse ikke opfyldt;af-timer-godkendt-beskaeftigelse-ej-opfyldt
Trækprocent ATP Disp.dato1;af-traekprocent-atp-disp-dato1
Trækprocent Disp.dato1 næste år;af-traekprocent-disp-dato1-naeste-aar
Trækprocent SUPP Disp.dato1;af-traekprocent-supp-disp-dato1
Udenlandsk personnummer;af-udenlandsk-personnummer
Udlandsflyt uden pensionsret - samlever;af-udlandsflyt-uden-pensionsret-samlever
Udlandsretur - samlever;af-udlandsretur-samlever
Antal måneder - Seneste engangsbeløbsperiode minus 1;af-udskudt-antal-maaneder-seneste-engangsbeloebsperiode-minus-1
Udskudt dato overgang til FOP;af-udskudt-dato-overgang-fop
Antal måneder - Engangsbeløb samlet;af-udskudt-engangsbeloeb-samlet
Engangsbeløb slut seneste periode minus 1;af-udskudt-engangsbeloeb-slut-seneste-minus-1
Engangsbeløb start seneste periode minus 1;af-udskudt-engangsbeloeb-start-seneste-minus-1
Engangstillæg seneste periode brutto;af-udskudt-engangstillaeg-seneste-periode-brutto
Livsvarig venteprocent - Seneste periode inden 01.07.18;af-udskudt-livsvarig-venteprocent-seneste-periode-10718
Udskudt pension - samlever;af-udskudt-pension-samlever
AF- Timer - godkendt i systemet;af-udskudt-timer-godkendt-i-systemet
Varmekilde2;af-varmekilde2
Varmekilde3;af-varmekilde3
Varmetillæg ændringsdato;af-varmetillaeg-aendringsdato
Antal mdr i varmetill.opg.;af-varmetillaeg-antal-maaneder-varmetill-opg
B1_1_Efterbetaling_Eng;B1_1_Efterbetaling_Eng
Berostillingsdato;af-varmetillaeg-berostillingsdato
B1_1_Eng;B1_1_Eng
Varmetillæg Mdl næste år;af-varmetillaeg-mdl-naeste-aar
Nyt i alt hele omregn.perioden, før indregning;af-varmetillaeg-nyt-i-alt-hele-omregn-periode-foer-indregning
Varmetillæg opgørelsesperioden, før indregning;af-varmetillaeg-opgoerelsesperioden-foer-indregning
Varmetillæg Opgørelsesperiode Startdato;af-varmetillaeg-opgoerelse-startdato
Ophørsdato;af-varmetillaeg-ophoersdato
Varmetillæg resten af året inkl indregning;af-varmetillaeg-resten-af-aaret-inkl-indregning
Varmetillæg udbetalingsdato;af-varmetillaeg-udbetalingsdato
Fraflytningsdato;af-varmetill-fraflytningsdato
Sidste udbetalingsdato;af-varmetill-sidste-udb-dato
Varmeudgift2 gennemsnit;af-varmeudgift2-gennemsnit
Varmeudgift2 i alt;af-varmeudgift2-i-alt
Varmeudgift3 gennemsnit;af-varmeudgift3-gennemsnit
Varmeudgift3 i alt;af-varmeudgift3-i-alt
afVarmeudgiftGennemsnit;afVarmeudgiftGennemsnit
Kind regards;af-venlig-hilsen-gb
Venlig hilsen uden KR;af-venlig-hilsen-uden-kr
kind regards uden KR navn;af-venlig-hilsen-uden-kr-gb
Livsvarig venteprocent - Samlet;af-venteprocent-samlet
Livsvarig venteprocent - Seneste periode;af-venteprocent-seneste-periode
Livsvarig venteprocent - Tidligere periode;af-venteprocent-tidligere-periode
Beskæftigelseskravet ikke opfyldt ikke timer nok?;mb-beskaeftigelseskravet-ikke-opfyldt-ikke-timer-nok
Beskæftigelseskravet ikke opfyldt ingen arbejde?;mb-beskaeftigelseskravet-ikke-opfyldt-ingen-arbejde
B1_2;B1_2
B1_2_Efterbetaling;B1_2_Efterbetaling
B1_2_Efterbetaling_Eng;B1_2_Efterbetaling_Eng
B1_2_Eng;B1_2_Eng
B100B_Udbetalt_EjSkattepligtig;B100B_Udbetalt_EjSkattepligtig
B103_1;B103_1
B10A_B10A;B10A_B10A
B10A_B10A_Eng;B10A_B10A_Eng
B14;B14
b16_Eng;b16_Eng
B201_1;B201_1
B201_2;B201_2
B201_3;B201_3
B202_1;B202_1
B202_3;B202_3
B202_4;B202_4
B202_5;B202_5
B212A;B212A
B250;B250
B3C_2;B3C_2
B450;B450
B475;B475
B48_Ydelsesreduktion;B48_Ydelsesreduktion
Tabel B50 FØP løbende sag;B50-foep-loebende-sag
B7_1;B7_1
B7_1_Eng;B7_1_Eng
B7_2;B7_2
B7_2_AtpDispDato1;B7_2_AtpDispDato1
B7_2_Eng;B7_2_Eng
B7_2_SuppDispDato1;B7_2_SuppDispDato1
B7_3;b7_3
B70_1;B70_1
b70_1_AtpDispDato1;b70_1_AtpDispDato1
b70_1_Eng;B70_1_Eng
b70_1_SuppDispDato1;b70_1_SuppDispDato1
B70_2;B70_2
B70_2_AtpDispDato1;B70_2_AtpDispDato1
b70_2_Eng;B70_2_Eng
B70_2_SuppDispDato1;B70_2_SuppDispDato1
B75_Eng;B75_Eng
B77_2;b77_2
B77_3;b77_3
b7b;b7b
B7B_1;B7B_1
B7b_2;B7b_2
B7B_3;B7B_3
B7B_3_Eng;B7B_3_Eng
B8;B8
B8_2;B8_2
B8_2_Eng;B8_2_Eng
B8_Eng;B8_eng
Bopaelsberegner_Optjeningstid;Bopaelsberegner_Optjeningstid
CPR-Modtager;CPR-Modtager
EFR_Varmetillaeg_beregning;EFR_Varmetillaeg_beregning
FOEPBruttoATPSUPPOpgperiodeAfrundet;FOEPBruttoATPSUPPOpgperiodeAfrundet
Indkomstvisning;Indkomstvisning
MF - Skriv afgørelsens retsvirkning eller hvad vi har ændret;m-afgs-retsvirkning-eller-hvad-vi-har-aendret
MF - Skriv almindelig post eller digital post;m-almindelig-post-eller-digital-post
Ægtefælle/samlevers kapital-og aktieindkomst;mb-aegtefaelle-samlever-kapital-aktie-indk
Ægtefælle/samlevers personlige indkomst;mb-aegtefaelle-samlever-personlig-indk
Ægtefælle/samlever selvstændig;mb-aegtefaelle-samlever-selvstaendig
Ældrecheck under 200 kr.;mb-aeldrecheck-under-200-kr
Ændring borger delvist medhold;mb-aendring-bg-delvis-medhold
Ændring borger medhold;mb-aendring-bg-medhold
Afgørelse er ikke truffet;mb-afg-ej-truffet
Afgørelse er truffet;mb-afg-er-truffet
Afslag pga. borger ikke er erhvervsaktiv (flytning til EU/EØS)?;mb-afslag-pga-borger-ikke-er-erhvervsaktiv-flytning-til-eu-eoes
Afslag  - Statsborger i 3.land (flytning til 3. land)?;mb-afslag-pga-statsborger-i-3-land-flytning-til-3-land
Afslag - Statsborger i 3. land (flytning til EU/EØS)?;mb-afslag-pga-statsborger-i-3-land-flytning-til-eu-eoes
Afslag - Statsborgerskab (flytning til konv.land)?;mb-afslag-pga-statsborgerskab-flytning-til-konv-land
Afslag - Statsborger i EU/EØS (flytning til 3. land)?;mb-afslag-statsborger-i-eu-eoes-flytning-til-3-land
Afsoning ændret, men til samme måned som før?;mb-afsoning-aendret-men-til-samme-maaned-som-foer
Afsoning ændret til anden måned end før?;mb-afsoning-aendret-til-anden-maaned-end-foer
Afsoning aflyst?;mb-afsoning-aflyst
Aktieudbytte;mb-aktieudbytte
Aktindsigt i en andens sag;mb-aktindsigt-i-andens-sag
Anden dato end 1. januar;mb-anden-dato-end-1-januar
Anden dato end 1. januar og samlever ikke pensionist?;mb-anden-dato-end-1-januar-og-samlever-ikke-pensionist
Anden dato end 1. januar og samlever pensionist?;mb-anden-dato-end-1-januar-og-samlever-pensionist
Anden opvarmningsform end oplyst;mb-anden-opvarmningsform-end-oplyst
Anden person er flyttet ind på adressen;mb-anden-pers-flyttet-ind-paa-adr
En anden har skrevet under?;mb-anden-underskrift
Andet;mb-andet
Andre forhold;mb-andre-forhold
Ans. ældrecheck;mb-ans-aeldrecheck
Ans. folkepension;mb-ans-fop
Ans. helbredstillæg;mb-ans-helbredstillaeg
Ansøgningsskema;mb-ansoegning-skema
Ansøgning om varmetillæg?;mb-ans-varmetillaeg
Arbejdsevne;mb-arbejdsevne
AST har bedt os vurdere genoptagelse;mb-ast-vurdering-af-genoptagelse
Bagudbetalt;mb-bagudbetalt
Bankoplysninger;mb-bankoplys
Behandlingsmuligheder;mb-behandlingsmuligheder
Betaling af bidrag;mb-betaling-af-bidrag
Har borger selv oplyst at være blevet enlig?;mb-bg-oplyser-at-vaere-enlig
Borger har sendt oplysninger;mb-bg-sendt-oplys
Bladkompagniet;mb-bladkompagniet
Blanket/dokument returneres;mb-blanket-dok-retur
Er borger flyttet til Færøerne;mb-borger-flyttet-faeroerne
Er borger flyttet til Grønland;mb-borger-flyttet-groenland
Borger har ikke oplyst samliv;mb-borger-har-ikke-opl-samliv
Borger har oplyst samliv;mb-borger-har-opl-samliv
Har borger selv henvendt sig;mb-borger-har-selv-henvendt-sig
Borger og partner skal betale det samme?;mb-borger-partner-betaler-det-samme
Er borger allerede udrejst;mb-borger-udrejst
CPR mangler;mb-cpr-mangler
Digital førtidspensionist;mb-digital-foertidspensionist
Digital folkepensionist;mb-digital-folkepensionist
Digital selvbetjeningsløsning;mb-digital-selvbetjeningsloesning
Dokumenter fra kommunen;mb-dok-i-km
Dokumenter i UDK;mb-dok-i-udk
Efterregulering under 25.000 GL. FØP;mb-efterreg-under25-gl-foep
Efterregulering under 25.000 NY FØP FOP;mb-efterreg-under25-ny-foep-fop
Ikke muligt at aflevere posten;mb-ej-muligt-at-afl-post
Eksisterende FOP eller FØP sag - Flere end 2 eller ej fælles adr?;mb-eksi-fop-eller-foep-sag-flere-end-to-eller-ej-faelles-adresse
Eksisterende FOP eller FØP sag - Skriftligt meldt ændring til enlig?;mb-eksi-fop-eller-foep-sag-skriftligt-meldt-aendring-til-enlig
Eksisterende FOP eller FØP sag;mb-eksisterende-fop-eller-foep-sag
Eksisterende pensionssag;mb-eksisterende-sag
Eksisterende varmetillægssag;mb-eksisterende-varmetillaegssag
Bemærkninger borger;mb-er-bg-kommet-med-bemaerkningerv
Er borger flyttet?;mb-er-borger-flyttet
Er der en ændret årsopgørelse fra SKAT?;mb-er-der-en-aendret-aarsopg-fra-skat
Er der krav fra tidligere som skal modregnes og rest til udbetaling?;mb-er-der-krav-fra-tidligere-som-skal-modregnes-og-rest-til-udb
Er der krav fra tidligere som skal modregnes, så der ikke bliver nogen udbetaling?;mb-er-der-krav-fra-tidl-som-skal-modregnes-saa-der-ikke-bliver-nogen-udb
Er der sendt bekræftelse;mb-er-der-sendt-bekraeftelse
Er der tale om en plejebolig?;mb-er-der-tale-om-en-plejebolig
Er der tilkendt erstatning før tilkendelse af FØP;mb-er-der-tilkendt-erstatning-foer-tilkendelse-af-foep
Er pensionen beregnet;mb-er-pensionen-beregnet
Flere end to på adressen - Oplysninger indhentet pr. tlf.?;mb-flere-end.to-paa-adressen-opl-indhentet-pr-tlf
Flere end to eller ej fælles adr;mb-flere-end-to-eller-ej-faelles-adr
Flere end to på adressen;mb-flere-end-to-paa-adr
Flere end to på adressen - Oplysninger indhentet pr. brev?;mb-flere-end-to-paa-adressen-opl-indhentet-pr-brev
Flere på adressen;mb-flere-paa-adr
Flyttet ind på pensionistens adresse;mb-flyttet-ind-paa-pensionist-adr
Flyttet ind på samlevers adresse;mb-flyttet-ind-paa-samlevers-adr
Flyttet ind på pensionist adresse;mb-flyttet-paa-pensionist-adresse
Flyttet ind på samlevers adresse;mb-flyttet-paa-samlevers-adresse
Flyttet til ukendt adresse;mb-flyttet-ukendt-adr
FØP opstartssag;mb-foep-opstartssag
FØP opstartssag - flere på adressen?;mb-foep-opstartssag-flere-paa-adressen
FØP opstartssag - ikke fælles adresse?;mb-foep-opstartssag-ikke-faelles-adresse
FØP opstartssag - to på adressen?;mb-foep-opstartssag-to-paa-adressen
Folkepensionist;mb-folkepensionist
Løbende personligt tillæg;mb-lobende-personligt-tillaeg
FOP nyansøgning;mb-fop-nyansoegning
FOP Nyansøgning - ikke fælles adresse?;mb-fop-nyansoegning-ikke-faelles-adresse
FOP Nyansøgning - to på adressen?;mb-fop-nyansoegning-to-paa-adressen
FOP Nyansøgning - flere på adressen?;mb-fop-nyansogning-og-flere-paa-adressen
Forbrug overstiger max;mb-forbrug-overstiger-max
For høj indkomst;mb-for-hoej-indk
For høj indkomst;mb-for-hoej-indk-alle
For lidt udbetalt;mb-for-lidt-udbetalt
For meget udbetalt;mb-for-meget-udbetalt
Formue over grænsen;mb-formue-over-graensen
Forudbetalt tjenestemandspension;mb-forudbetalt-tjmandspension
Forventet personlig indkomst;mb-forventet-pers-indk
Fremsendelse af dok. efter FVL;mb-fremsendelse-af-dok-ef-fvl
Fremsendelse med frist for udtale;mb-fremsendelse-m-frist-for-udtale
Fuldmagt mangler - Henvendelse;mb-fuldmagt-mangler-henv
Fuldmagt mangler - Ny klage;mb-fuldmagt-mangler-ny-klage
Genoptaget fuld pension;mb-genoptaget-fuld-pens
Genoptaget nedsat pension;mb-genoptaget-nedsat-pens
Har bedt om blanket;mb-har-bedt-om-blanket
Har borger fået udbetalt for meget varmetillæg?;mb-har-bg-faaet-udbetalt-for-meget-varmetill
Har borger varmetillæg tilgode?;mb-har-bg-varmetill-tilgode
Har borger oplyst ny formue?;mb-har-borger-oplyst-ny-formue
Har sendt dok. for aconto i stedet for varmeregnskab;mb-har-sendt-dok-for-aconto-i-stedet-for-varmeregnskab
Har søgt;mb-har-soegt
Helårssag 1. januar;mb-helaarssag-1-januar
Hjemvist medhold;mb-hjemvist-medhold
Hjemvist samme resultat;mb-hjemvist-samme-resultat
MB - hvordan betaler du pension tilbage?;mb-hv-betaler-du-pension-tilbage
Ikke fælles adresse;mb-ikke-faelles-adr
Ikke fælles adresse - oplysninger indhentet pr. brev?;mb-ikke-faelles-adresse-opl-indhentet-pr-brev
Ikke fælles adresse - oplysninger indhentet pr. tlf.?;mb-ikke-faelles-adresse-opl-indhentet-pr-tlf
Ikke folkepensionist;mb-ikke-folkepensionist
Indhenter samitidig oplysninger fra borger;mb-indh-samtidig-opl-fra-bg
Indkomst ved overgang;mb-indk-ved-overgang
Indsæt omregningsdato;mb-indsaet-omregningsdato
Ingen oplysninger;mb-ingen-oplys
Ingen sag;mb-ingen-sag
Kan hele beløbet udbetales uden modregning?;mb-kan-hele-beloebet-udbetales-uden-modregning
Kapitalindkomst mindre end 12 måneder;mb-kapitalindk-mindre-end-12-md
Kapital-og aktieindkomst;mb-kapital-og-aktieindk
Klage modtaget;mb-klage-modtaget
Klage modtaget og aktindsigt;mb-klage-modtaget-og-aktindsigt
Kopi af pas enlig;mb-kopi-af-pas-enlig
Kopi af pas med børn;mb-kopi-af-pas-med-boern
Kvitteringsbrev;mb-kvitteringsbrev
Lejekontrakt;mb-lejekontrakt
Leveattest fra sidste år;mb-leveattest-fra-sidste-aar
Manglende oplysninger;mb-manglende-opl
Mangler bankoplysninger;mb-mangler-bankoplysninger
Mangler dokumentation;mb-mangler-dok
Mangler dokumentation for beskæftigelse;mb-mangler-dok-for-beskaeftigelse
Mangler dok. for seneste 3 år;mb-mangler-dok-for-seneste-tre-aar
Mangler indkomsterklæringer;mb-mangler-indkomsterklaeringer
Mangler samlivserklæring;mb-mangler-samlivserklaering
Med henvisning til borger.dk;mb-med-henvisning-til-borger-dk
Mangler UDK at træffe afgørelse om afslag;mb-mgl-udk-afgoerelse-om-afslag
MF - Skriv navn og adresse på ambassade, konsulat eller anden myndighed;mb-navn-adr-paa-ambassade-konsulat-myndighed
Nedsæt udbetalingen;mb-nedsaet-udbetalingen
Negativ kapitalindkomst;mb-negativ-kapitalindk
Nyansøgning;mb-nyansoegning
Nye oplysninger;mb-nye-oplysninger
Ny FOP eller FØP sag;mb-ny-fop-eller-foep-sag
Ønsker at søge;mb-oensker-at-soege
Omregnes varmetillæg for flere opgørelsesperioder?;mb-omregnes-varmetill-flere-opgoerelsesperioder
Opgør.periode er efterreg. el. krav før 2015;mb-opgoer-periode-efterreg-krav-foer-2015
Opgør.periode slut men ej efterreg.;mb-opgoer-periode-slut-men-ej-efterreg
Oplysninger indhentet pr. brev;mb-opl-indhentet-pr-brev
Oplysninger indhentet pr. tlf;mb-opl-indhentet-pr-tlf
Oplysninger indhentet, svaret og uenig;mb-opl-indhentet-svaret-uenig
Oplysninger indhentet, svaret og uenig - indhentet pr brev?;mb-opl-indhentet-svaret-uenig-indhentet-pr-brev
Oplysninger indhentet, svaret og uenig - indhentet pr tlf.?;mb-opl-indhentet-svaret-uenig-indhentet-pr-tlf
Oplysning modtaget fra andre end den vi skriver til;mb-opl-modt-fra-andre-end-den-vi-skriver-til
Oplysning modtaget fra den vi skriver til;mb-opl-modt-fra-den-vi-skriver-til
Oplysning om ægtefælle/samlevers indkomst;mb-opl-om-aegtefaelle-samlevers-indk
Oplysninger om andre;mb-opl-om-andre
Oplysning om borgers indkomst;mb-opl-om-bg-indk
Oplysninger om forholdet;mb-opl-om-forholdet
Oplysninger om opholdsgrundlag;mb-opl-om-opholdsgrundlag
Oplysninger om samkvem;mb-opl-om-samkvem
Oplysninger om samlivsforhold;mb-opl-om-samlivsforhold
Oplysning om skattekort;mb-opl-om-skattekort
Oplysninger om statsborgerskab;mb-opl-om-statsborgerskab
Oplysning om udland;mb-opl-om-udland
Oplysning om udland ikke modtaget;mb-opl-om-udland-ikke-modtaget
Oplysning om udland modtaget;mb-opl-om-udland-modtaget
Oplysninger om udlandsophold;mb-opl-om-udlandsophold
Oplysninger om udrejse enlig;mb-opl-om-udrejse-enlig
Oplysninger om udrejse med børn;mb-opl-om-udrejse-med-boern
Oplysninger til beregning og udbetaling;mb-opl-til-beregning-og-udbetaling
Oplysninger vi tidligere har bedt om;mb-opl-vi-tidligere-har-bedt-om
Opstarts FØP eller FOP;mb-opstart-fop-eller-foep
MF - Skriv borgers oplysninger;m-borgers-oplysninger
Over 65 år på ansøgningstidspunktet;mb-over-65-aar-ansoegningstidspunkt
Over 65 år på virkningsstidspunktet;mb-over-65-aar-virkningsstidspunkt
Partshøring med bemærkning;mb-partshoering-m-bemaerkning
Partshøring uden bemærkning;mb-partshoering-uden-bemaerkning
Partshørt og ej svaret;mb-partshoert-og-ej-svaret
Partshørt og enig;mb-partshoert-og-enig
Partshørt og ikke enig;mb-partshoert-og-ikke-enig
Partshørt pr. brev;mb-partshoert-pr-brev
Partshørt pr. tlf;mb-partshoert-pr-tlf
Pension flere år;mb-pension-flere-aar
Pensionist er flyttet ind på anden person adresse;mb-pensionist-flyttet-ind-anden-pers-adr
Pensionist og samlever flyttet sammen på ny adresse;mb-pensionist-saml-flyttet-sammen-ny-adr
Pensionsalder efter 1.9.2017 og søgt efter den 10. i den 5. måned;mb-pensionsald-efter-1-9-2017-afslag-tilbagekraft
Pensionsalder efter 1.9.2017 og søgt senest den 10. i den 5. måned;mb-pensionsald-efter-1-9-2017-tilkendelse-tilbagekraft
Pensionsalder før 1.9.2017, afslag tilbagevirkende kraft;mb-pensionsald-foer-1-9-2017-afslag-tilbagekraft-65
Pensionsalder før 1.9.2017, tilkendelse tilbagevirkende kraft genoprettelsessag;mb-pensionsald-foer-1-9-2017-tilkendelse-tilbagekraft-65-genoprettelsessag
Postnord;mb-postnord
Rejsedokumentation;mb-rejsedok
Rykker for oplysning til beregning;mb-ryk-for-opl-beregning
Sag i Ankestyrelsen;mb-sag-i-ast
Sagsbehandlingsfrist FVL;mb-sagsbehandlingsfrist-fvl
Sagsbehandlingsfrist OFL;mb-sagsbehandlingsfrist-ofl
Samlever ikke pensionist;mb-samlever-ikke-pensionist
Samlever pensionist;mb-samlever-pensionist
Selvstændig;mb-selvstaendig
Skal borger ringe;mb-skal-bg-ringe
Skal borger sende oplysningerne;mb-skal-bg-sende-opl
Skriftligt meldt ændring til enlig;mb-skriftlig-meldt-aendring-til-enlig
Søgt via kommunen;mb-soegt-via-kommunen
Søgt via Pensionsguiden;mb-soegt-via-pensionsguiden
Søger borger om mere udbetalt;mb-soger-borger-mere-udbetalt
Specifikke oplysninger fra borger;mb-specifikke-opl-fra-bg
Spørgsmål til SKAT, renter og bruttobeløb;mb-spg-skat-rent-bruttobeloeb
Spørgsmål om beregning;mb-spg-til-beregning
Statsborger i konventionsland;mb-statsborger-konventionsland
Statsborger i tredjeland;mb-statsborger-tredjeland
Stop og tilbagebetaling;mb-stop-og-tilbagebetaling
Stop pga. kontrol;mb-stop-pga-kontrol
Stop pga. leveattest;mb-stop-pga-leveattest
Stop pga. adresse;mb-stop-pga-mangl-adresse
Stop udbetalingen;mb-stop-udbetaling
Svarfrist 14 dage? Husk advis;mb-svarfrist-14-dage
Svarfrist 3 mdr? Husk advis;mb-svarfrist-3-mdr
Svar hurtigst muligt? Husk advis;mb-svar-hurtigst-muligt
Sygedagpengesag;mb-sygedagpengesag
Tak for din henvendelse;mb-tak-for-henvend
Tak for det tilsendte?;mb-tak-for-tilsendte
Tidsbegrænset fuldmagt;mb-tidsbegraenset-fuldmagt
Tillægsprocenten er 0;mb-tillaegsprocenten-er-nul
Til myndighed;mb-til-myndighed
To på adressen;mb-to-paa-adr
To på adressen - partshørt - ej svaret?;mb-to-paa-adr-partsh-ej-svaret
To på adressen - partshørt - ikke enig - pr. brev?;mb-to-paa-adr-partsh-og-ikke-enig-pr-brev
To på adressen - partshørt - ikke enig - pr. tlf.?;mb-to-paa-adr-partsh-og-ikke-enig-pr-tlf
Ubegrænset fuldmagt;mb-ubegraenset-fuldmagt
Ubekendt på adressen;mb-ubekendt-paa-adresse
MB - Udbetales erstatningen også fremadrettet;mb-udbetales-erstatningen-ogsaa-fremadrettet
Udskrift fra sundhed.dk;mb-udskrift-fra-sundhed
Ukendte oplysninger fra borger eller andre;mb-ukendt-opl-fra-bg-eller-andre
Under 12 mdr.'s beskæftigelse;mb-under-12-mdr-beskaeftigelse
Under 12 mdr.'s beskæftigelse (og statsborger i konventionslandet);mb-under-12-mdr-beskaeftigelse-konvland
Under 12 mdr.'s beskæftigelse forud for ansøgning;mb-under-12-mdr-beskaeftigelse-pk-tidl-yu
Under 1 års optjening;mb-under-1-aars-optjen
Under 30 års optjening;mb-under-30-aars-optjen
Under 3 års bopæl;mb-under-3-aars-bopael
Under 40 år;mb-under-40-aar
Under 5 års bopæl (Tidl. Jugoslavien og Pakistan);mb-under-5-aars-bopael-jugoslavien-pakistan
Under minimumsbeløbsgrænse;mb-under-minbeloebsgraense
Under minimumsbeløbsgrænse (søgt før 1.7.2018);mb-under-minbeloebsgraense-soegt-foer-dato
Underskrift på civilstandserklæring mangler;mb-underskrif-paa-civilstandserkl-mangler
Underskrift fra borger mangler;mb-underskrift-fra-bg-mangler
